nohup: ignoring input
[full_import] start import_customer_to_neo4j
[customer] written=25100000 total=25100000 skipped=0
[customer] written=25150000 total=25150000 skipped=0
[customer] written=25200000 total=25200000 skipped=0
[customer] written=25250000 total=25250000 skipped=0
[customer] written=25300000 total=25300000 skipped=0
[customer] written=25350000 total=25350000 skipped=0
[customer] written=25400000 total=25400000 skipped=0
[customer] written=25450000 total=25450000 skipped=0
[customer] written=25500000 total=25500000 skipped=0
[customer] written=25550000 total=25550000 skipped=0
[customer] written=25600000 total=25600000 skipped=0
[customer] written=25650000 total=25650000 skipped=0
[customer] written=25700000 total=25700000 skipped=0
[customer] written=25750000 total=25750000 skipped=0
[customer] written=25800000 total=25800000 skipped=0
[customer] written=25850000 total=25850000 skipped=0
[customer] written=25900000 total=25900000 skipped=0
[customer] written=25950000 total=25950000 skipped=0
[customer] written=26000000 total=26000000 skipped=0
[customer] written=26050000 total=26050000 skipped=0
[customer] written=26100000 total=26100000 skipped=0
[customer] written=26150000 total=26150000 skipped=0
[customer] written=26200000 total=26200000 skipped=0
[customer] written=26250000 total=26250000 skipped=0
[customer] written=26300000 total=26300000 skipped=0
[customer] written=26350000 total=26350000 skipped=0
[customer] written=26400000 total=26400000 skipped=0
[customer] written=26450000 total=26450000 skipped=0
[customer] written=26500000 total=26500000 skipped=0
[customer] written=26550000 total=26550000 skipped=0
[customer] written=26600000 total=26600000 skipped=0
[customer] written=26650000 total=26650000 skipped=0
[customer] written=26700000 total=26700000 skipped=0
[customer] written=26750000 total=26750000 skipped=0
[customer] written=26800000 total=26800000 skipped=0
[customer] written=26850000 total=26850000 skipped=0
[customer] written=26900000 total=26900000 skipped=0
[customer] written=26950000 total=26950000 skipped=0
[customer] written=27000000 total=27000000 skipped=0
[customer] written=27050000 total=27050000 skipped=0
[customer] written=27100000 total=27100000 skipped=0
[customer] written=27150000 total=27150000 skipped=0
[customer] written=27200000 total=27200000 skipped=0
[customer] written=27250000 total=27250000 skipped=0
[customer] written=27300000 total=27300000 skipped=0
[customer] written=27350000 total=27350000 skipped=0
[customer] written=27400000 total=27400000 skipped=0
[customer] written=27450000 total=27450000 skipped=0
[customer] written=27500000 total=27500000 skipped=0
[customer] written=27550000 total=27550000 skipped=0
[customer] written=27600000 total=27600000 skipped=0
[customer] written=27650000 total=27650000 skipped=0
[customer] written=27700000 total=27700000 skipped=0
[customer] written=27750000 total=27750000 skipped=0
[customer] written=27800000 total=27800000 skipped=0
[customer] written=27850000 total=27850000 skipped=0
[customer] written=27900000 total=27900000 skipped=0
[customer] written=27950000 total=27950000 skipped=0
[customer] written=28000000 total=28000000 skipped=0
[customer] written=28050000 total=28050000 skipped=0
[customer] written=28100000 total=28100000 skipped=0
[customer] written=28150000 total=28150000 skipped=0
[customer] written=28200000 total=28200000 skipped=0
[customer] written=28250000 total=28250000 skipped=0
[customer] written=28300000 total=28300000 skipped=0
[customer] written=28350000 total=28350000 skipped=0
[customer] written=28400000 total=28400000 skipped=0
[customer] written=28450000 total=28450000 skipped=0
[customer] written=28500000 total=28500000 skipped=0
[customer] written=28550000 total=28550000 skipped=0
[customer] written=28600000 total=28600000 skipped=0
[customer] written=28650000 total=28650000 skipped=0
[customer] written=28700000 total=28700000 skipped=0
[customer] written=28750000 total=28750000 skipped=0
[customer] written=28800000 total=28800000 skipped=0
[customer] written=28850000 total=28850000 skipped=0
[customer] written=28900000 total=28900000 skipped=0
[customer] written=28950000 total=28950000 skipped=0
[customer] written=29000000 total=29000000 skipped=0
[customer] written=29050000 total=29050000 skipped=0
[customer] written=29100000 total=29100000 skipped=0
[customer] written=29150000 total=29150000 skipped=0
[customer] written=29200000 total=29200000 skipped=0
[customer] written=29250000 total=29250000 skipped=0
[customer] written=29300000 total=29300000 skipped=0
[customer] written=29350000 total=29350000 skipped=0
[customer] written=29400000 total=29400000 skipped=0
[customer] written=29450000 total=29450000 skipped=0
[customer] written=29500000 total=29500000 skipped=0
[customer] written=29550000 total=29550000 skipped=0
[customer] written=29600000 total=29600000 skipped=0
[customer] written=29650000 total=29650000 skipped=0
[customer] written=29700000 total=29700000 skipped=0
[customer] written=29750000 total=29750000 skipped=0
[customer] written=29800000 total=29800000 skipped=0
[customer] written=29850000 total=29850000 skipped=0
[customer] written=29900000 total=29900000 skipped=0
[customer] written=29950000 total=29950000 skipped=0
[customer] written=30000000 total=30000000 skipped=0
[customer] written=30050000 total=30050000 skipped=0
[customer] written=30100000 total=30100000 skipped=0
[customer] written=30150000 total=30150000 skipped=0
[customer] written=30200000 total=30200000 skipped=0
[customer] written=30250000 total=30250000 skipped=0
[customer] written=30300000 total=30300000 skipped=0
[customer] written=30350000 total=30350000 skipped=0
[customer] written=30400000 total=30400000 skipped=0
[customer] written=30450000 total=30450000 skipped=0
[customer] written=30500000 total=30500000 skipped=0
[customer] written=30550000 total=30550000 skipped=0
[customer] written=30600000 total=30600000 skipped=0
[customer] written=30650000 total=30650000 skipped=0
[customer] written=30700000 total=30700000 skipped=0
[customer] written=30750000 total=30750000 skipped=0
[customer] written=30800000 total=30800000 skipped=0
[customer] written=30850000 total=30850000 skipped=0
[customer] written=30900000 total=30900000 skipped=0
[customer] written=30950000 total=30950000 skipped=0
[customer] written=31000000 total=31000000 skipped=0
[customer] written=31050000 total=31050000 skipped=0
[customer] written=31100000 total=31100000 skipped=0
[customer] written=31150000 total=31150000 skipped=0
[customer] written=31200000 total=31200000 skipped=0
[customer] written=31250000 total=31250000 skipped=0
[customer] written=31300000 total=31300000 skipped=0
[customer] written=31350000 total=31350000 skipped=0
[customer] written=31400000 total=31400000 skipped=0
[customer] written=31450000 total=31450000 skipped=0
[customer] written=31500000 total=31500000 skipped=0
[customer] written=31550000 total=31550000 skipped=0
